방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,방향,층,총 층,건축물 용도,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설
일반원룸3층,500,40,0,1,1,서울시 강북구 우이동 71-21,6.05평/5.74평(전용률95%),5만원,불가능,서향(거실 기준),3,4,제2종 근린생활시설,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2005.02.23,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, "
일반원룸3층,500,40,0,1,1,서울시 강북구 우이동 72-66,5.29평/3.49평(전용률66%),5만원,불가능,동향(거실 기준),2,3,단독주택,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 침대, 벽걸이에어컨, ","인터폰, 현관보안, 무인택배함, "
다가구2층,"4,000",60,0,2,1,서울시 강북구 우이동 21-8,12.97평/12.97평(전용률100%),0원,불가능,서향(거실 기준),2,3,미등기건물,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,none,none
다가구2층,"4,000",60,0,2,1,서울시 강북구 우이동 124-33,15.02평/15.02평(전용률100%),0원,불가능,남향(거실 기준),1,3,단독주택,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,1996.09.19,"베란다, ",none
일반원룸고층,300,29,0,1,1,서울시 강북구 우이동 61-19,6.35평/6.35평(전용률100%),5만원,불가능,남향(안방 기준),고,4,단독주택,0,1,토마토부동산공인중개사사무소,"02-905-1356,010-7518-1356",단층,2011.11,"침대, 책상, 옷장, 냉장고, 세탁기, 샤워부스, 싱크대, 가스레인지, 인덕션레인지, 벽걸이에어컨, ","현관보안, "
일반원룸고층,300,29,0,1,1,서울시 강북구 우이동 100-57,23.01평/3.81평(전용률17%),0원,가능,서향(거실 기준),2,5,제2종 근린생활시설,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,2012.03.30,none,none
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 107-14,5.29평/3.49평(전용률66%),5만원,불가능,남서향(거실 기준),2,3,단독주택,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2018.07.23,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, "
일반원룸2층,300,30,0,1,1,서울시 강북구 우이동 100-43,6.05평/5.14평(전용률85%),4만원,불가능,동향(안방 기준),2,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2009.06.08,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 침대, 벽걸이에어컨, ","인터폰, 현관보안, CCTV, "
일반원룸2층,300,30,0,1,1,서울시 강북구 우이동 72-157,6.99평/6.99평(전용률100%),6만원,불가능,남서향(거실 기준),2,5,제2종 근린생활시설,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2019.10.18,"책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, ","인터폰, CCTV, 현관보안, 엘리베이터, 베란다, 무인택배함, "
일반원룸2층,500,50,0,1,1,서울시 강북구 우이동 56-45,4.87평/4.87평(전용률100%),3만원,불가능,남향(안방 기준),2,5,단독주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",none,2013,"CCTV, 현관보안, ",none
빌라2층,500,40,0,1,1,서울시 강북구 우이동 72-66,1.81평/1.51평(전용률83%),0원,불가능,북향(거실 기준),1,3,단독주택,0,1,하나공인중개사사무소,"02-996-1133,010-5471-8085",단층,2016.10.06,none,none
일반원룸1층,300,45,0,2,1,서울시 강북구 우이동 23-38,14.66평/13.11평(전용률89%),0원,가능,서향(안방 기준),B1,3,공동주택,0,1,코끼리공인중개사사무소,"02-992-8989,010-7688-0754",none,1996.05.30,"사설경비, 베란다, ",none
빌라B1층,"1,000",45,0,1,1,서울시 강북구 우이동,23.52평/5.88평(전용률25%),5만원,불가능,북서향(거실 기준),1,3,단독주택,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,2009.09.29,none,none
단독1층,500,30,0,1,1,서울시 강북구 우이동,23.52평/5.88평(전용률25%),5만원,불가능,남동향(안방 기준),1,3,단독주택,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,2009.09.29,"가스레인지, 신발장, 침대, 벽걸이에어컨, ",none
단독1층,500,30,0,1,-,서울시 강북구 우이동 56-45,7.26평/4.95평(전용률68%),5만원,불가능,동향(거실 기준),2,5,공동주택,0,1,신하나공인중개사사무소,010-6342-4597,단층,2012.01.02,"냉장고, 신발장, 싱크대, 옷장, 책상, 벽걸이에어컨, ","CCTV, 현관보안, "
일반원룸2층,500,38,0,1,-,서울시 강북구 우이동 72-157,6.95평/6.35평(전용률91%),6만원,불가능,동향(거실 기준),2,4,제2종 근린생활시설,0,1,신하나공인중개사사무소,010-6342-4597,단층,2019.10.18,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 벽걸이에어컨, ",none
일반원룸2층,500,50,0,1,1,서울시 강북구 우이동 100-57,23.01평/3.81평(전용률17%),0원,불가능,남향(거실 기준),3,5,단독주택,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,2012.03.30,none,none
일반원룸3층,300,30,0,1,1,서울시 강북구 우이동 100-57,23.01평/3.81평(전용률17%),0원,불가능,남동향(거실 기준),고,5,단독주택,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",단층,2012.03.30,"가스레인지, 냉장고, 신발장, 싱크대, 전자레인지, 침대, 벽걸이에어컨, ",none
