방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,층,총 층,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설,방향_동,방향_서,방향_남,방향_북,건축물 용도_공동주택,건축물 용도_그 밖에 토지의 정착물,건축물 용도_단독주택,건축물 용도_미등기건물,건축물 용도_숙박시설,건축물 용도_업무시설,건축물 용도_제1종 근린생활시설,건축물 용도_제2종 근린생활시설,주소좌표,대형마트,편의점,지하철역
일반원룸3층,500,40,0,1,1,서울시 강북구 우이동 71-21,5.74,5.0,0,3,4,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",0,2005,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, ",0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,"['127.012634538209', '37.6503994410576']",739.0,124.0,134.0
일반원룸3층,500,40,0,1,1,서울시 강북구 우이동 72-66,3.49,5.0,0,2,3,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",0,2016,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 침대, 벽걸이에어컨, ","인터폰, 현관보안, 무인택배함, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.014034073037', '37.6495472230822']",583.0,28.0,29.0
다가구2층,4000,60,0,2,1,서울시 강북구 우이동 21-8,12.97,4.0,0,2,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1809,none,none,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,"['127.012731580887', '37.6619346159376']",492.0,108.0,105.0
다가구2층,4000,60,0,2,1,서울시 강북구 우이동 124-33,15.02,4.0,0,1,3,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,1996,"베란다, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.011031854343', '37.6585725040152']",279.0,117.0,349.0
일반원룸고층,300,29,0,1,1,서울시 강북구 우이동 61-19,6.35,5.0,0,4,4,0,1,토마토부동산공인중개사사무소,"02-905-1356,010-7518-1356",0,2011,"침대, 책상, 옷장, 냉장고, 세탁기, 샤워부스, 싱크대, 가스레인지, 인덕션레인지, 벽걸이에어컨, ","현관보안, ",0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.012187609874', '37.6559162050573']",244.0,155.0,95.0
일반원룸고층,300,29,0,1,1,서울시 강북구 우이동 100-57,3.81,4.0,1,2,5,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,2012,none,none,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,"['127.011811179706', '37.6547235229072']",372.0,21.0,189.0
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 107-14,3.49,5.0,0,2,3,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",0,2018,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, ",0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['127.011280984385', '37.6572815535075']",239.0,109.0,227.0
일반원룸2층,300,30,0,1,1,서울시 강북구 우이동 100-43,5.14,4.0,0,2,3,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",0,2009,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 침대, 벽걸이에어컨, ","인터폰, 현관보안, CCTV, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.012418375115', '37.6540799788524']",414.0,88.0,223.0
일반원룸2층,300,30,0,1,1,서울시 강북구 우이동 72-157,6.99,6.0,0,2,5,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,2019,"책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, ","인터폰, CCTV, 현관보안, 엘리베이터, 베란다, 무인택배함, ",0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,1,"['127.01295088499', '37.6501973162387']",703.0,92.0,99.0
일반원룸2층,500,50,0,1,1,서울시 강북구 우이동 56-45,4.87,3.0,0,2,5,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",0,2013,"CCTV, 현관보안, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.012967945265', '37.6564228342577']",158.0,112.0,55.0
