방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,방향,층,총 층,건축물 용도,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설
일반원룸중층,500,30,0,1,1,서울시 강북구 우이동 100-28,23.52평/4.53평(전용률19%),0원,가능,동향,중,3,단독주택,0,1,토마토부동산공인중개사사무소,"02-905-1356,010-7518-1356",단층,2009,"침대, 책상, 옷장, 냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","비디오폰, 현관보안, "
일반원룸중층,500,30,0,2,1,서울시 강북구 우이동 23-21,11.51평/11.51평(전용률100%),0원,가능,서향,3,3,단독주택,0,1,가나부동산,"02-990-8982,010-5558-0304",단층,-,none,none
단독 단독3층,"1,500",60,0,1,1,서울시 강북구 우이동 72-155,9.03평/9.03평(전용률100%),3만원,불가능,남향,저,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,"책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 전자레인지, 벽걸이에어컨, ","비디오폰, 인터폰, CCTV, 현관보안, 방범창, 화재경보기, "
일반원룸저층,300,30,0,1,1,서울시 강북구 우이동 100-43,5.5평/5.5평(전용률100%),3만원,불가능,서향,3,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2009.06.08,"침대, 책상, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","비디오폰, 인터폰, CCTV, 현관보안, 방범창, 화재경보기, "
일반원룸3층,300,30,0,1,1,서울시 강북구 우이동 72-155,9.03평/9.03평(전용률100%),3만원,불가능,남향,2,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2006.12.28,"침대, 책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 전자레인지, 벽걸이에어컨, ","비디오폰, 인터폰, CCTV, 현관보안, 방범창, 화재경보기, "
일반원룸2층,500,39,0,1,1,서울시 강북구 우이동 100-33,4.99평/4.99평(전용률100%),5만원,불가능,남서향,3,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,"침대, 책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","비디오폰, 인터폰, CCTV, 현관보안, 방범창, "
일반원룸3층,300,33,0,2,2,서울시 강북구 우이동 71-21,14.99평/14.99평(전용률100%),0원,불가능,서향,2,4,제2종 근린생활시설,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2005.02.23,"침대, 책상, 옷장, 식탁, 소파, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ",none
다가구2층,"4,000",70,0,2,1,서울시 강북구 우이동 73-97,12.76평/12.76평(전용률100%),2만원,가능,서향,3,4,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2019.05.09,none,none
다가구3층,"3,000",65,0,1,1,서울시 강북구 우이동,7.99평/7.99평(전용률100%),5만원,가능,서향,고,4,단독주택,0,1,두드림공인중개사사무소,"02-907-8274,010-5155-2064",단층,2022.05.16,"냉장고, 샤워부스, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","현관보안, 엘리베이터, "
단독고층,"1억 2,000",40,0,1,1,서울시 강북구 우이동 72-17,5.44평/4.53평(전용률83%),5만원,불가능,남향,1,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2017.04.24,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, "
일반원룸1층,500,34,0,1,1,서울시 강북구 우이동 72-17,5.44평/4.53평(전용률83%),5만원,불가능,남향,1,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2017.04.24,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, "
일반원룸1층,500,34,0,2,1,서울시 강북구 우이동 23-21,11.47평/11.47평(전용률100%),0원,불가능,동향,3,3,단독주택,0,1,아담부동산공인중개사사무소,010-3668-8122,단층,2020,none,none
다가구2층,"4,000",60,0,2,1,서울시 강북구 우이동 21-8,62.39평/13.58평(전용률22%),5만원,가능,서향,2,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,2022.05.17,"붙박이장, 신발장, 천장에어컨, ","인터폰, CCTV, 현관보안, 베란다, "
다가구2층,"4,000",60,0,1,1,서울시 강북구 우이동 100-35,10.99평/10.99평(전용률100%),0원,불가능,동향,2,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,1997.10.15,"신발장, 냉장고, 싱크대, 가스레인지, 벽걸이에어컨, ","인터폰, CCTV, 베란다, "
일반원룸2층,"2,000",45,0,2,1,서울시 강북구 우이동 73-97,17평/11.19평(전용률66%),2만원,가능,남향,3,5,단독주택,0,1,태원공인중개사,"02-905-4949,010-9454-8878",단층,-,none,none
일반원룸저층,100,34,0,1,-,서울시 강북구 우이동 107-15,2.42평/1.81평(전용률75%),5만원,불가능,북서향,저,3,단독주택,0,1,주식회사골드시티부동산중개법인,02-902-5555,단층,-,"침대, 세탁기, 벽걸이에어컨, ",none
일반원룸저층,100,34,0,2,1,서울시 강북구 우이동 21-8,13.97평/13.97평(전용률100%),3만원,가능,남서향,2,4,단독주택,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",단층,2022,none,none
다가구2층,"4,000",70,0,2,1,서울시 강북구 우이동,14.18평/14.18평(전용률100%),0원,불가능,남향,2,2,단독주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",단층,1973,none,none
일반원룸2층,300,45,0,1,1,서울시 강북구 우이동 72-66,5.29평/3.49평(전용률66%),0원,불가능,동향,2,3,단독주택,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, "
일반원룸2층,"4,000",70,0,2,1,서울시 강북구 우이동 21-8,12.97평/12.97평(전용률100%),5만원,가능,서향,2,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,"붙박이장, 세탁기, 싱크대, ","비디오폰, 인터폰, CCTV, 현관보안, 베란다, 테라스, "
